City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Mount Isa,AU,-20.7333,139.5,69.57,30,0,13.8,clear sky
334,Komsomolskiy,UZ,40.4272,71.7189,78.22,28,0,0.6,clear sky
335,Gari,RU,59.4307,62.3497,58.6,65,11,6.96,few clouds
336,Luderitz,NA,-26.6481,15.1594,69.42,32,0,21.72,clear sky
337,Carauari,BR,-4.8828,-66.8958,74.52,94,100,1.01,overcast clouds
338,Biak,ID,-0.9131,122.8766,81.66,71,26,7.87,scattered clouds
339,Kibala,TD,9.1104,18.3463,74.89,82,100,2.59,overcast clouds
340,Clearwater,US,27.9659,-82.8001,83.91,79,40,3.0,scattered clouds
341,Chicama,PE,-7.8447,-79.1469,64.94,84,96,6.22,overcast clouds
342,Teya,RU,60.3778,92.6267,43.43,71,67,11.25,broken clouds
